,index,Path66,Path46_SCE,Path61,Path42,Path24,Path45
0,8751240,41713.68615284125,9647.593495796093,27440.75848811228,3133.671960717441,0.0,0.0
1,8751264,35654.49624230183,13639.170966899655,21544.902978155802,3737.608693719873,0.0,0.0
2,8751288,50599.46949978592,8796.736827125373,27180.010276888916,3256.7169534084524,0.0,0.0
3,8751312,36503.39660568668,4184.391265109891,19690.667354210724,4803.597351524861,0.0,0.0
4,8751336,56520.406820165066,5079.964385763877,15563.111404636547,0.0,0.0,714.5825635454555
5,8751360,49753.65823033277,3823.9301107255087,20988.239360509815,0.0,0.0,0.0
6,8751384,57544.34526780301,9993.199826328208,27534.92781434624,3147.686714678796,0.0,668.7669835815562
7,8751408,38979.24500869331,13887.792200884389,36484.257763124304,0.0,0.0,643.0499198897853
8,8751432,22370.800068644217,14004.7833580656,32463.963719562376,3138.7347844924766,0.0,112.28152142973559
9,8751456,50571.04023759249,2538.457133407239,34573.95316730847,454.58844718052137,0.0,0.0
10,8751480,55750.366426952554,10796.294961085703,29373.91585621893,245.5856432791793,0.0,0.0
11,8751504,67897.98794374603,13030.502907757615,18639.321040665505,2895.4687852204174,0.0,0.0
12,8751528,51252.95933520126,15065.830187160649,22459.89451801831,0.0,0.0,1521.1168956665535
13,8751552,52862.19530605711,18437.065654920272,18328.11640086818,0.0,0.0,0.0
14,8751576,28447.16407542856,14267.349095660891,22680.08600363609,3765.634496381933,0.0,0.0
15,8751600,60125.317612956555,7261.236470793876,28092.813511011187,0.0,0.0,0.0
16,8751624,35901.461247925574,233.94684792538465,32784.106052512034,3744.1573178734634,0.0,1929.5593036338705
17,8751648,52612.07726882033,4234.710784398558,23899.160778820882,2993.2358333043567,0.0,0.0
18,8751672,39440.24232262459,2592.0518387676857,22816.053812377475,3592.2162709794393,0.0,2373.457633747177
19,8751696,33851.05555015748,94.3481578734918,26777.535091562946,0.0,0.0,2652.4905173218476
20,8751720,40778.67450986717,1235.0200227546757,23182.43132104438,0.0,0.0,1183.01727055451
21,8751744,33827.687049857836,6500.390039941947,28541.921427967332,3208.8323152117537,0.0,0.0
22,8751768,51154.90698390773,11298.611646320498,18266.404392892357,3695.8273584123203,0.0,0.0
23,8751792,49727.3953393599,13680.752053748736,10177.695222193668,4438.3906406507695,0.0,0.0
24,8751816,53581.611332528366,9480.486191438216,15209.168274746917,6.181462627569317,0.0,0.0
25,8751840,47915.41809620122,11607.457622123375,14111.558743766096,334.46955056047545,0.0,0.0
26,8751864,68586.4535237211,7699.126817894483,17166.816311213835,5120.820560491117,0.0,0.0
27,8751888,45790.029196139076,9727.535008081411,22520.158846232393,2397.886694298774,0.0,0.0
28,8751912,41655.071336076166,6908.026787469678,19374.121293260585,3456.00485273492,0.0,0.0
29,8751936,50077.35557056761,13140.108369590662,22720.06583463229,3737.0770740496328,0.0,372.834009041502
30,8751960,51392.36705895917,9716.020423401085,23102.069739094986,2288.3608794630327,0.0,0.0
31,8751984,50329.809133581,10664.54124873075,25160.617876584314,2615.3414007842457,34.04025734502152,1102.6205643726087
32,8752008,45877.09338601898,7578.642328922055,33900.11566864267,4453.841774936074,164.5259576593772,199.91168234524054
33,8752032,42932.5230850357,7750.646760495862,28571.848522015905,3855.3912433557052,214.51033185840254,2504.2550385634195
34,8752056,43386.93913913568,18860.918244823435,29166.328878887005,3994.8229458177166,281.3270341884412,899.1365369429923
35,8752080,39556.75085828432,17452.673409105475,26766.43110938855,2858.1721710970605,775.9215229004808,1429.313219314336
36,8752104,26131.993800678676,12983.897882065046,20115.215516595043,243.68261603836413,0.0,1559.902565724888
37,8752128,34438.67149856562,17015.8675513798,26597.22069993535,1883.919124920442,483.5411495205626,80.58926427009462
38,8752152,51778.52986379663,12934.113344209274,29548.70041552526,2150.5986135962667,724.2481703309472,2672.9996929364215
39,8752176,47465.02864622451,2983.6558323732097,29243.590856924748,1640.9648496418156,822.4930551573347,2227.6925970304164
40,8752200,40425.68189382596,8377.636065131454,26872.062132547027,3441.007977565503,847.0398586006552,2305.7727663151727
41,8752224,49470.689362139514,18510.193359952886,26121.0459074959,2521.641036997499,1165.5262137024808,276.70605760991276
42,8752248,46625.6615930443,17104.74879012873,24508.294070480286,1135.1525503276473,866.0313382757835,0.0
43,8752272,46545.58550972565,21000.336538923497,26806.387763155908,3831.2410276582414,640.4785532802257,1476.8768479758
44,8752296,59060.281516341085,16785.909665935753,19047.63785764989,1533.4432521597148,846.8254379461338,2452.757844720956
45,8752320,64442.79855976543,11673.6583759228,19312.624793037845,1481.8781464024214,732.9155479918327,1927.7706265821046
46,8752344,47141.004075317745,10971.288739988877,22947.886150893028,2061.4587846428794,491.7110075723334,2631.995145533284
47,8752368,31101.115342772977,8437.396696987926,24569.631007464348,3093.8295948529712,673.4874022248655,2689.9546431264716
48,8752392,54773.30993624029,18653.634070349355,22729.900952551256,3411.551213090832,543.2212588995948,3049.6398228974094
49,8752416,44541.124112552374,4988.851751903352,28355.673215877454,3288.4422446878752,847.7223365047532,4313.750390008413
50,8752440,35944.69917407661,11721.979843342151,27896.01429053431,3736.322025830833,672.7558914594242,667.0755771113064
51,8752464,48220.00487584763,9090.920618191527,25201.195954706054,1465.5738999273087,522.8303736631041,0.0
52,8752488,54199.14353629054,4089.4146865779476,32440.755762459303,1004.6108377656242,1196.9077453318448,527.1599257505753
53,8752512,61246.203877059925,6523.77837161473,29746.384174242856,406.8795134488,907.7758447214804,2666.734982563483
54,8752536,37571.15169701299,2689.833099073099,22574.77966250854,2990.8303923030417,678.8983604715197,3129.522012531468
