,index,Path3,Path8,Path14,Path65,Path66
0,364635,266.005326807177,1390.7467728943445,481.63203890939394,0.0,0.0
1,364636,108.32301215712148,1113.6113595798151,139.31871611468046,138.25504326041042,0.0
2,364637,0.0,1419.9859126579995,0.0,0.0,0.0
3,364638,0.0,1105.8640704276513,7.360499190776014,0.0,0.0
4,364639,0.0,1066.46366024414,499.5277800968846,0.0,0.0
5,364640,0.0,829.6130361917637,292.2682661492574,0.0,0.0
6,364641,0.0,1202.167606242565,628.9215314080485,0.0,0.0
7,364642,0.0,1170.8220811875985,211.4730992197893,0.0,0.0
8,364643,0.0,1103.5506744931538,364.6864069809108,0.0,0.0
9,364644,0.0,946.1287558969827,214.29135273271163,0.0,0.0
10,364645,0.0,1110.5851320090887,372.1209122842884,0.0,0.0
11,364646,0.0,784.7414522784094,942.9323005010707,0.0,0.0
12,364647,0.0,1069.929109327511,357.65175119055016,0.0,0.0
13,364648,0.0,1069.021624192143,546.3517253831832,0.0,0.0
14,364649,0.0,1097.920143888597,955.3370763202327,0.0,0.0
15,364650,0.0,1144.9773931392324,597.2458306689077,0.0,0.0
16,364651,0.0,1300.2655101239764,245.264149975265,0.0,0.0
17,364652,0.0,1006.8971381542924,777.7807960312349,0.0,0.0
18,364653,0.0,893.9259211470999,704.804928056517,0.0,0.0
19,364654,0.0,1258.2739503504422,322.55360966139216,0.0,0.0
20,364655,351.49659500181707,1423.1551341837185,466.27611781298515,8.455679724621803,0.0
21,364656,0.0,1464.7084781230303,585.2961586561174,356.57871695465144,0.0
22,364657,0.0,1439.534252033763,628.314877995981,0.0,0.0
23,364658,0.0,1042.1606833631115,76.29141245557386,0.0,0.0
24,364659,0.0,1299.4676659895536,311.6580765610156,0.0,0.0
25,364660,0.0,1345.1685159189344,99.31555661344912,0.0,0.0
26,364661,0.0,951.6410685782894,432.1310329739077,0.0,0.0
27,364662,0.0,1078.5076151360636,105.63938547862743,0.0,0.0
28,364663,0.0,1164.4154765300011,546.5985442755779,0.0,0.0
29,364664,0.0,1053.7398263704374,425.25240029881513,0.0,0.0
30,364665,0.0,1221.0714911812115,779.3181342222659,0.0,0.0
31,364666,0.0,1244.6335604327387,114.2433832205224,0.0,0.0
32,364667,0.0,1766.967267472357,716.7583752693021,0.0,0.0
33,364668,359.3288260111313,1225.378668483675,879.9647644991875,0.0,0.0
34,364669,315.030130972094,1503.8864984946927,584.5943068714548,0.0,0.0
35,364670,207.00748224054138,1535.9594556924915,500.7937719321908,0.0,0.0
36,364671,0.0,842.5458301172179,425.56379566351615,0.0,0.0
37,364672,0.0,1033.92323095142,820.9663758158115,0.0,0.0
38,364673,0.0,1255.3018650145234,431.9574684069957,0.0,0.0
39,364674,85.48093881566808,1340.8182363706626,640.2143514882272,209.36174516405708,0.0
40,364675,160.06066893009415,1238.8408364504496,777.7305288103943,195.94546127624162,0.0
41,364676,252.93875744249215,1292.539489026235,754.4296803280351,0.0,0.0
42,364677,0.0,1223.0329885864367,643.2839530361653,0.0,0.0
43,364678,0.0,1565.258456557066,1042.4416066726221,0.0,0.0
44,364679,0.0,1731.6948541021152,791.8497902759599,0.0,0.0
45,364680,0.0,1846.3074367519064,805.9978974317073,0.0,0.0
46,364681,0.0,828.8546567538757,896.0441930844501,0.0,0.0
47,364682,0.0,791.0582021750959,9.032516716233944,0.0,0.0
48,364683,0.0,1025.6803813162642,219.58539212875192,0.0,0.0
49,364684,0.0,623.6940051501844,10.31944756267808,0.0,0.0
50,364685,90.60031770055912,854.7288453457112,1128.5486385294228,0.0,0.0
51,364686,0.0,926.6630062042736,256.4910472911876,0.0,0.0
52,364687,0.0,1167.213683325659,455.9169942815478,74.41494136252379,0.0
53,364688,0.0,737.1269144812005,458.0708639726343,0.0,0.0
54,364689,0.0,890.5919800457599,453.32202392215714,0.0,0.0
55,364690,0.0,786.5785694331827,344.2966165807248,79.11002931713199,0.0
56,364691,0.0,1442.8518962504806,248.77770452090562,0.0,0.0
57,364692,270.82723725974387,829.1600418478513,298.29020622406483,0.0,0.0
58,364693,0.0,1027.8913056310107,184.7127626595776,0.0,0.0
59,364694,0.0,1264.0033203513544,603.6046115132057,0.0,0.0
60,364695,0.0,1877.5700669622065,846.7049367271535,0.0,0.0
61,364696,0.0,1605.5492220230258,778.5621993951222,0.0,0.0
62,364697,0.0,1723.0118414094104,778.2997567898018,169.93741486164762,0.0
63,364698,0.0,1325.4955284126172,880.5902763229255,0.0,0.0
64,364699,0.0,1487.7308394945505,759.1213935311376,79.80633347223129,0.0
65,364700,0.0,1333.6756454927827,444.8252637108353,0.0,0.0
66,364701,0.0,1160.2119624535796,604.4536545557963,0.0,0.0
67,364702,0.0,1284.2164293827675,594.3517462826975,43.21265982047486,0.0
68,364703,0.0,1421.0656963754432,812.0174071320401,0.0,0.0
69,364704,0.0,1159.2208656698585,417.7863041941626,0.0,0.0
70,364705,0.0,1522.2850721084644,843.2579798146892,0.0,0.0
71,364706,0.0,1615.1653004398045,1166.2630206470335,0.0,0.0
72,364707,0.0,1451.0927546371884,811.1872737846875,0.0,0.0
73,364708,0.0,1061.947756137572,794.3473269304452,0.0,0.0
74,364709,0.0,1177.8978747971985,1111.1112066462938,0.0,0.0
75,364710,29.177898887357344,1097.0624131083666,735.9611549049703,0.0,0.0
76,364711,0.0,1499.3406399612475,323.3496741734932,0.0,0.0
77,364712,0.0,1259.5669611488354,840.8569179040825,0.0,0.0
78,364713,0.0,1267.5334280214338,686.8395594995716,0.0,0.0
79,364714,0.0,1153.455325944989,317.00799297693425,0.0,0.0
