datetime,SRI,SJI
1902-03-02,18.62742218362473,6.285967950317078
1902-03-03,18.672725978046138,6.286260563239416
1902-03-04,18.65467299369838,6.307801456800794
1902-03-05,18.697249252061244,6.318932455007095
1902-03-06,18.744939153087657,6.319578434846053
1902-03-07,18.799990042089963,6.311634978309045
1902-03-08,18.83402135016197,6.304558371154281
1902-03-09,18.853177257749653,6.301607705872446
1902-03-10,18.875696563344853,6.296423199634763
1902-03-11,18.905712590138897,6.2941427287972385
1902-03-12,18.92137828345894,6.288946077060605
1902-03-13,18.96369893168041,6.287979065413046
1902-03-14,18.955989644825017,6.282965417660623
1902-03-15,18.96720867369243,6.289242827624367
1902-03-16,18.95658730696568,6.2903777483453585
1902-03-17,18.964174242822,6.285208110117953
1902-03-18,18.981289785578653,6.301935363284944
1902-03-19,18.98657374116447,6.371696910936113
1902-03-20,18.981025054561126,6.446528692193539
1902-03-21,18.986830252163678,6.478252528797063
1902-03-22,18.988355359227686,6.575841459335276
1902-03-23,19.031739792532093,6.776665360997327
1902-03-24,19.050209105379572,6.797172920126626
1902-03-25,19.046202780404325,6.7823457351227665
1902-03-26,19.025976331106573,6.782510804247222
1902-03-27,19.016197010466804,6.774169269223956
1902-03-28,19.025018630131505,6.843234314025624
1902-03-29,19.0385020270056,6.855786910805909
1902-03-30,19.071449263935335,6.88763515335071
1902-03-31,19.0555965136342,6.884485860679983
1902-04-01,19.073137986656555,6.882545133268135
1902-04-02,19.08825615914424,6.860321920379608
1902-04-03,19.1043361087976,6.864080777984148
1902-04-04,19.140155303514494,6.887397880890954
1902-04-05,19.150099407345905,6.887339874122149
1902-04-06,19.16248105991116,6.863442236855005
1902-04-07,19.16167709911148,6.8503781390358345
1902-04-08,19.166768530803665,6.856438830621359
1902-04-09,19.187678057417692,6.869059998533076
1902-04-10,19.171748081643717,6.866574922559516
1902-04-11,19.171709348372048,6.879107891916631
1902-04-12,19.17175511169854,6.866884033455758
1902-04-13,19.17631669609905,6.8537642608758835
1902-04-14,19.183811571057667,6.8440250042920825
1902-04-15,19.19191571108408,6.840089667279223
1902-04-16,19.1978977706436,6.839109884253152
1902-04-17,19.197081882106016,6.837031469382872
1902-04-18,19.2803784754762,6.870611947309665
1902-04-19,19.265263907887125,6.869924010620766
1902-04-20,19.26379042663487,6.864568963104568
1902-04-21,19.26384211131524,6.863633239041799
1902-04-22,19.2618576500022,6.852294052910425
1902-04-23,19.261774757498763,6.843909165534271
1902-04-24,19.262398351425496,6.8421989314907785
1902-04-25,19.26722245037605,6.845084784394462
