,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
0,79054.10846852577,85126.75809798314,18758.30702837749,39289.30243790009,8005.479338584888,3387.7165467417544,5401.534863989017,3850.325648044959,1846.6274537348183,348.3602973038036,2456.9930624604726,4753.253357284777
1,79054.10846852577,71726.77932148872,17777.283412867273,35444.797247674054,8005.479338584888,2795.387427974318,4742.080241662892,3228.1829575626484,1564.7480751575786,286.9421573645385,2892.2088360844778,4753.253357284777
2,79054.10846852577,62682.06031603601,16992.464520459103,31251.620854702924,8005.479338584888,2321.524132960369,4058.0817102428373,2910.564628501903,1218.9392437200786,241.35982897826426,2629.478271008253,5088.349750528968
3,79054.10846852577,52771.66226477861,13595.736722883888,27304.807581529938,8005.479338584888,2168.198456670951,3429.0292481604233,2584.124429432888,880.1083998419516,202.33366825958225,2326.129145858106,4753.253357284777
4,79054.10846852577,43844.93580427209,10878.35448482371,23813.328614450675,8005.479338584888,2272.8261717725104,2906.90988018171,2494.9683189207976,519.6071273478251,165.49995218098135,2026.8123670182213,4753.253357284777
5,79054.10846852577,36301.922033964234,8704.44869437557,20747.738685808377,8005.479338584888,2243.3128273864986,3168.336526739481,2430.517957551815,174.03442161469437,137.34788392979632,1759.7529370130476,4753.253357284777
6,79054.10846852577,30088.443074432507,6965.324062017056,18165.585195057585,7092.764600230541,1827.5246496869656,4591.511181379439,2449.4593489960303,15.010273759846665,138.99571410452836,1528.3124509510162,4753.253357284777
7,79054.10846852577,24925.684266213986,5574.024356130252,15948.933203886558,6029.080351259996,1776.8945677959848,6028.685157088595,2445.7150425894015,15.010273759846665,408.13535215437224,1330.5556086253678,4753.253357284777
8,68547.18715160104,20664.675388237007,4460.98459142081,14174.206421120696,5135.026162249095,1679.1334610923075,6505.182042091274,2709.5799604105705,15.010273759846665,639.3814116546476,1164.0186846671804,4753.253357284777
9,57996.42751950833,17044.394888651987,3570.5527796532556,12651.534498216242,4393.49420057314,1487.1419350275462,6355.491405739885,3004.125920184774,15.010273759846665,892.3368193697489,1023.2383816361827,4753.253357284777
10,49323.48778673589,14220.108369251378,3037.1717653013475,11544.45144628802,3756.263783276385,1448.5645523248434,5646.207031317177,2801.518860214346,15.010273759846665,857.8988576989507,900.9900137556172,4753.253357284777
11,41879.43751093799,11677.433342914614,2610.4669538198145,10424.777835316163,3337.020036420824,1417.3969957972513,4907.33561923347,2639.490578057764,15.010273759846665,776.6710636660696,794.6177198007656,4753.253357284777
12,35718.51804138585,9626.33220194396,2269.103104634588,9707.025960818608,2994.8487822010366,1276.929805257297,4199.260513136531,2477.716388803396,15.010273759846665,689.1006710395236,663.3460028489566,4753.253357284777
13,30277.77205066077,8549.20490839473,1996.0120252864047,9434.976881152235,2669.514257659698,1338.378375963606,3590.248915668698,2184.153268310775,15.010273759846665,607.6596432583405,559.4842970660629,4753.253357284777
14,26141.88871657559,7079.839197655678,1777.5391618078625,8970.381429854991,2374.54893787578,1330.214822870462,3076.4256007288745,1921.7533417094878,1385.0675946072838,535.2647896156878,438.2188910810978,4753.253357284777
15,22644.928073817526,4789.829083697348,1602.7608710250333,8520.667173215972,2201.2774672624087,1382.9816251669097,2659.9513017200793,1836.6432561186468,1135.521642526996,473.96179593089056,308.256415777105,4753.253357284777
16,20154.46019813407,2988.748625627349,1462.9382383987609,8493.119386773491,1961.9144978631539,1672.5052664116195,2310.834386888329,1838.752067243877,819.2227976899828,422.8224609707758,175.62669582383177,4753.253357284777
17,18012.22549581493,1717.5470105311979,3789.5634937614545,8514.013738295938,1788.0587181851145,2008.0094525743345,2029.8387945193076,1584.0685952838694,520.8780215520185,381.73411511356306,39.7691906099742,4753.253357284777
18,16348.448099720132,2147.134891699223,5650.8636980516185,8275.657544210888,1763.1907591745107,2226.5655409829,1803.6497256666007,1341.9083509167194,225.44635213469573,354.9302652965397,0.0,4753.253357284777
19,15968.239253343912,3155.1713686097205,7139.9038614837455,7778.571505019778,1752.685181418624,2168.039565916829,1625.174194953324,1105.7855461192307,15.010273759846665,334.0470954150268,0.0,4753.253357284777
20,15934.328102620404,14563.002396016554,8331.135992229441,7313.750206659953,2032.9655844689257,2172.1455223729636,1474.1929334107492,866.8949056576653,15.010273759846665,312.6324692838125,0.0,4753.253357284777
21,15350.650557909645,12610.85982845244,9284.121696826012,6963.960782861776,2182.1612329359427,2664.4013211315805,1348.4564754389162,578.2600398687749,15.010273759846665,291.5230709490002,0.0,4753.253357284777
22,14975.839686443982,12577.790570727222,10046.510260503264,6726.80827313858,2208.772840247507,2763.9226573090923,1256.068146033387,350.2397210630889,15.010273759846665,268.1662226772615,0.0,4753.253357284777
23,15348.242641955998,19401.97634845089,10656.421111445068,6454.554554245348,2660.885099499106,2665.0796677035705,1182.1574825089635,350.2397210630889,15.010273759846665,246.44914097871188,254.18922067454886,4753.253357284777
24,22024.780338955123,22272.22292622342,11312.05504290795,5977.650470130943,3421.4759961639797,2465.2386459625864,1333.6202558180066,350.2397210630889,15.010273759846665,229.14770871979593,693.9433579054598,4753.253357284777
25,24600.12342628771,20587.58724962897,11836.56218807825,5836.863337472665,3459.436881368602,2305.470418117456,1393.2068307891432,350.2397210630889,15.010273759846665,226.78242137997842,747.0342533845263,4753.253357284777
26,26473.325879333668,19411.27909852004,12256.167904214497,5536.124868959749,3336.400934041876,2169.7181520178265,1589.4195528993628,350.2397210630889,15.010273759846665,223.34197436173963,730.9382579493554,4753.253357284777
